Cateto     Perimetro        Apotema           Area
440              2640         381.05          502986.0
443              2658         383.65          509870.85
303              1818         262.41          238530.69
194              1164         168.01          97781.82
146              876         126.44          55380.72
401              2406         347.28          417777.84
195              1170         168.87          98788.95
188              1128         162.81          91824.84
48              288         41.57          5986.08
221              1326         191.39          126891.57
2              12         1.73          10.38
27              162         23.38          1893.78
22              132         19.05          1257.3
121              726         104.79          38038.77
291              1746         252.01          220004.73
457              2742         395.77          542600.67
405              2430         350.74          426149.1
114              684         98.73          33765.66
141              846         122.11          51652.53
244              1464         211.31          154678.92
450              2700         389.71          526108.5
391              2346         338.62          397201.26
104              624         90.07          28101.84
55              330         47.63          7858.95
440              2640         381.05          502986.0
122              732         105.66          38671.56
263              1578         227.76          179702.64
147              882         127.31          56143.71
130              780         112.58          43906.2
300              1800         259.81          233829.0
230              1380         199.19          137441.1
499              2994         432.15          646928.55
303              1818         262.41          238530.69
121              726         104.79          38038.77
324              1944         280.59          272733.48
265              1590         229.5          182452.5
158              948         136.83          64857.42
184              1104         159.35          87961.2
54              324         46.77          7576.74
49              294         42.44          6238.68
194              1164         168.01          97781.82
491              2946         425.22          626349.06
121              726         104.79          38038.77
32              192         27.71          2660.16
183              1098         158.48          87005.52
3              18         2.6          23.4
38              228         32.91          3751.74
66              396         57.16          11317.68
437              2622         378.45          496147.95
26              156         22.52          1756.56
309              1854         267.6          248065.2
295              1770         255.48          226099.8
263              1578         227.76          179702.64
143              858         123.84          53127.36
247              1482         213.91          158507.31
420              2520         363.73          458299.8
474              2844         410.5          583731.0
397              2382         343.81          409477.71
119              714         103.06          36792.42
97              582         84.0          24444.0
444              2664         384.52          512180.64
11              66         9.53          314.49
136              816         117.78          48054.24
109              654         94.4          30868.8
44              264         38.11          5030.52
208              1248         180.13          112401.12
386              2316         334.29          387107.82
173              1038         149.82          77756.58
368              2208         318.7          351844.8
281              1686         243.35          205144.05
113              678         97.86          33174.54
129              774         111.72          43235.64
80              480         69.28          16627.2
338              2028         292.72          296818.08
42              252         36.37          4582.62
392              2352         339.48          399228.48
327              1962         283.19          277809.39
355              2130         307.44          327423.6
82              492         71.01          17468.46
458              2748         396.64          544983.36
242              1452         209.58          152155.08
239              1434         206.98          148404.66
236              1416         204.38          144701.04
376              2256         325.63          367310.64
320              1920         277.13          266044.8
326              1956         282.32          276108.96
305              1830         264.14          241688.1
346              2076         299.64          311026.32
453              2718         392.31          533149.29
155              930         134.23          62416.95
45              270         38.97          5260.95
34              204         29.44          3002.88
32              192         27.71          2660.16
22              132         19.05          1257.3
88              528         76.21          20119.44
100              600         86.6          25980.0
20              120         17.32          1039.2
200              1200         173.21          103926.0
330              1980         285.79          282932.1
260              1560         225.17          175632.6
